time,pressure_GS_5,temperature_GS_5,void_GS_5
0,0,0,0
0.001,3046075.2454058,512.5133599947,0.008312715113687
0.002,2906609.1233025,512.64515038117,0.016662371823451
0.003,2837383.7194436,512.86247771397,0.028418279090504
0.004,2731480.3844013,513.40081569636,0.032331043710972
0.005,2667211.8671729,513.8095886174,0.038031208203299
0.006,2587452.8457349,514.3405837457,0.065573562193491
0.007,2525746.5060302,514.47237444735,0.090535176103433
0.008,2491285.6060297,514.47438810815,0.11102532322782
0.009,2475828.8380403,514.47640179934,0.11672853321444
0.01,2467724.8397366,514.47838162524,0.12153459652251
0.011,2460648.6544136,514.38325604104,0.12465381526104
0.012,2460585.7807427,514.09295125579,0.12856638430673
0.013,2445469.5879379,513.57121805522,0.1314
0.014,2420599.8527856,513.18835707831,0.13291662951404
0.015,2401258.4540434,512.88917812836,0.1349
0.016,2400118.9398025,512.67311955784,0.13647359500446
0.017,2400056.1936814,512.4671981801,0.1376
0.018,2384939.3158983,512.28770462809,0.1376
0.019,2384876.573046,512.15989218254,0.13741039783002
0.02,2384814.5201936,511.76917413331,0.1042
0.021,2384751.776758,511.2331395976,0.1033
0.022,2384689.0334889,510.82709449946,0.10593941150245
0.023,2384626.2906365,510.61025785072,0.11243343736068
0.024,2384563.5477841,510.40507027804,0.11992064199733
0.025,2384500.8049318,510.12909458185,0.1262
0.026,2384438.0623406,509.24723956636,0.12651772151899
0.027,2384375.319227,508.39319183678,0.1191311922366
0.028,2384312.5763747,507.48096375514,0.10972616357885
0.029,2384249.8348812,507.24738527947,0.1087
0.03,2399241.2288694,507.18897548235,0.1078
0.031,2399178.4902266,506.99174746165,0.10809251003121
0.032,2399115.7446485,506.86392873742,0.11210499331253
0.033,2399053.0000703,506.62092012898,0.1158
0.034,2398989.5727672,506.47845980778,0.1199303611235
0.035,2413981.6554157,506.32894126367,0.12304926437807
0.036,2413918.9152284,506.09313740348,0.12696189839572
0.037,2413856.172376,505.96533575867,0.12998068688671
0.038,2413793.4263883,505.89088137197,0.13220597414177
0.039,2413730.6836907,505.70969800832,0.13443129736959
0.04,2425656.6980453,505.59888155475,0.13610215439856
0.041,2428659.3333361,505.4541151476,0.137
0.042,2428596.5963137,505.45607388245,0.1388
0.043,2428533.8500814,505.45808761192,0.1397
0.044,2428471.1102642,505.33026867406,0.1397
0.045,2428408.3667566,505.33228228477,0.13894918625678
0.046,2428345.6239042,505.20446345732,0.13498561736771
0.047,2428282.8810519,505.20646844255,0.13101446654611
0.048,2428220.1382266,505.0786582149,0.12704633815552
0.049,2428157.3953471,504.95083926523,0.12307680831826
0.05,2428094.6524948,504.91880837278,0.1222
0.051,2428031.9107672,504.82503404503,0.1231
0.052,2427969.16679,504.82704776276,0.1231
0.053,2427906.4239377,504.82906139702,0.12576749888542
0.054,2427843.6823078,504.83102964812,0.13146778074866
0.055,2427780.9377297,504.83303324901,0.13448644672314
0.056,2427718.1943806,504.83504677152,0.13757154326494
0.057,2427655.4548485,504.83704757108,0.14062457627119
0.058,2427592.7102703,504.83901865374,0.1417
0.059,2427529.9658235,504.84103224766,0.14328733838609
0.06,2427467.2255325,504.8430458755,0.14459473918859
0.061,2427404.4801187,504.8450158583,0.1479
0.062,2427341.7382328,504.84701772748,0.1497
0.063,2427278.994414,504.97880861059,0.15195751226037
0.064,2427216.2553515,504.98082195166,0.1532
0.065,2427153.5077093,504.98279815689,0.15465131520285
0.066,2427090.7711306,505.11462638448,0.1559
0.067,2427028.0268922,505.11660596101,0.1568
0.068,2426965.282314,505.24843065172,0.1586
0.069,2426902.5425735,505.2503949405,0.1595
0.07,2426839.7994328,505.25240235199,0.1604
0.071,2426777.0548546,505.25436058146,0.1604
0.072,2426714.7246579,505.25641281225,0.1604
0.073,2426652.260164,505.25836333228,0.1595
0.074,2426589.5163952,505.18488115808,0.1595
0.075,2426526.7718171,505.13258256409,0.1587
0.076,2426464.0316069,505.13459633576,0.1578
0.077,2426401.2887545,505.00677738626,0.1578
0.078,2426338.5443577,504.86088005224,0.1578
0.079,2426275.8030498,504.62136266338,0.1578447486535
0.08,2426213.0601975,504.49354380455,0.1579
0.081,2426150.3158983,504.49555739437,0.1588
0.082,2426087.5672191,504.36773850695,0.1588
0.083,2426024.8306404,504.47829291455,0.1597
0.084,2425962.0871374,504.75745216769,0.1606
0.085,2425899.3449356,505.03661132083,0.1623
0.086,2425836.5986104,505.41416246937,0.1641
0.087,2425773.8592309,505.54596654172,0.16527686134641
0.088,2425711.1163785,505.67775713695,0.1659
0.089,2425648.3735262,505.67977076589,0.1668
0.09,2425585.6306738,505.68174044853,0.1677
0.091,2425522.8878214,505.6837387218,0.16881547035221
0.092,2425460.1439691,505.81553330575,0.17007530093625
0.093,2425397.4011167,505.81754684205,0.16975018348624
0.094,2425334.6582643,505.68972799238,0.14711596091205
0.095,2425271.9159044,505.56191077708,0.14063442622951
0.096,2425209.1725596,505.22285179602,0.13789371351594
0.097,2425146.4297072,504.94685439208,0.13751289009498
0.098,2425083.6884451,504.65929376918,0.137
0.099,2425020.9440025,504.27191317009,0.13737011596789
0.1,2424958.2011501,504.11885185833,0.1379
0.101,2424895.4609857,503.88648250923,0.14003303611235
0.102,2424832.7164075,503.75868229822,0.14217374052608
0.103,2424769.9708294,503.55080089664,0.14438328131966
0.104,2424707.2287407,503.27480355437,0.14918974587606
0.105,2424644.4879481,502.99880615044,0.15230864913063
0.106,2424581.7430359,502.85274959619,0.15443397235845
0.107,2424518.9953025,502.60042432193,0.15755287561302
0.108,2424456.2573312,502.47262523353,0.1592
0.109,2424393.5159106,502.34484217158,0.16011631016043
0.11,2424330.7716265,502.34680016549,0.1627
0.111,2424268.0330294,502.34881381225,0.1645
0.112,2424205.9774512,502.3507786923,0.1654
0.113,2424143.232873,502.35278566424,0.1654
0.114,2424080.49457,502.35479936177,0.1654
0.115,2424017.7499918,502.39472716855,0.1637
0.116,2423955.0054137,502.48860374698,0.1628
0.117,2423892.2669336,502.56419327587,0.1619
0.118,2423829.5225324,502.75218497563,0.16147738579828
0.119,2423766.7769543,502.99289371736,0.1602
0.12,2423704.0373765,503.27542991469,0.1602
0.121,2423641.294073,503.42159257778,0.1585
0.122,2423578.5494949,503.66877609926,0.1576
0.123,2423515.8088194,503.54100513899,0.1576
0.124,2423453.065967,503.54298441026,0.1576
0.125,2423390.316841,503.54499830943,0.1594
0.126,2423327.5802623,503.54696728874,0.1594
0.127,2423264.8356664,503.42683319992,0.1594
0.128,2423202.0945576,503.291374053,0.15944445442299
0.129,2423139.3471394,503.29338785379,0.1595
0.13,2423076.6078528,503.0357717161,0.1586
0.131,2423013.8638847,503.03777770807,0.1586
0.132,2422951.1215386,502.82680327837,0.15986112349532
0.133,2422888.3792957,502.78216774621,0.16377360677664
0.134,2422825.6364434,502.66473588873,0.16947365135979
0.135,2422762.893591,502.52652980132,0.17517369594293
0.136,2422700.1507386,502.39875550645,0.18176739518287
0.137,2422637.4078863,502.27094770894,0.18568046387154
0.138,2422574.6650339,502.27293489086,0.19138024966563
0.139,2422511.9221815,502.27491946093,0.19792122157824
0.14,2422449.1793292,502.27693313413,0.21846712756467
